id_pedido,id_cliente,id_produto,data_pedido,quantidade,desconto_pct,status
1,1,1,2024-01-05,1,0,Concluído
2,2,2,2024-01-07,2,5,Concluído
3,3,3,2024-01-10,1,0,Concluído
4,4,4,2024-01-12,1,10,Concluído
5,5,5,2024-01-15,3,0,Cancelado
6,6,6,2024-01-18,2,0,Concluído
7,7,7,2024-01-20,1,5,Concluído
8,8,8,2024-01-22,1,0,Concluído
9,9,9,2024-01-25,1,0,Pendente
10,10,10,2024-01-28,1,10,Concluído
11,1,2,2024-02-02,1,0,Concluído
12,2,1,2024-02-05,1,0,Cancelado
13,11,11,2024-02-08,3,5,Concluído
14,12,12,2024-02-11,2,0,Concluído
15,13,13,2024-02-14,1,0,Concluído
16,14,14,2024-02-17,1,15,Concluído
17,15,15,2024-02-20,1,0,Concluído
18,16,16,2024-02-23,2,0,Concluído
19,17,17,2024-02-26,1,5,Concluído
20,18,18,2024-02-28,1,0,Pendente
21,19,1,2024-03-03,2,10,Concluído
22,20,19,2024-03-06,4,0,Concluído
23,1,20,2024-03-09,1,0,Concluído
24,3,3,2024-03-12,2,5,Concluído
25,4,12,2024-03-15,3,0,Concluído
26,7,1,2024-03-18,1,0,Concluído
27,9,20,2024-03-21,1,0,Cancelado
28,1,5,2024-03-24,1,0,Concluído
29,2,7,2024-03-27,2,5,Concluído
30,3,12,2024-03-30,1,0,Concluído
